,energy_list,real_Ni,imag_Ni,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
36,853.3,0.000245245510414741,0.002096158928110303,0.002459219780849783,0.0021381507839008337,0.00013080799378529503,0.00014154687316158567,0.000761322637635243,0.0007270357271410972,0.00015355698393455938,0.00015349058228303542,8.573551320929542e-05,9.260183505808483e-05,0.0001353205956009234,0.00017076192821299194,3.938673353140449e-05,3.5458433540346254e-05,5.5047556119342115e-05,5.632000684556378e-05
37,853.4,0.000453416513442701,0.0020571432702785938,0.002601654171518095,0.0020658808821563514,0.00013228827983886702,0.00013759156221913982,0.0007817942928471453,0.0007030476839859041,0.00017865454601089767,0.00014912661261919688,0.00010173033789863609,9.032119791140087e-05,0.00015658921423058087,0.00016580701263170874,3.103785956674768e-05,3.5132980429275745e-05,5.926856698605983e-05,5.528076677045544e-05
38,853.5,0.0006480746192591688,0.0019969044294912337,0.002031371607057584,0.0019927196654906366,0.00012071926161836154,0.00013358746986733792,0.0006253046900129369,0.000678763792901223,0.00015026450715533614,0.00014470882150018408,9.110891758506965e-05,8.801243334417682e-05,0.00013090785858205431,0.00016079098737565854,4.169972076615071e-05,3.480351345894908e-05,5.128364821966073e-05,5.4228709600493955e-05
39,853.6,0.0008260528826554591,0.0019178198067385124,0.001933531364513222,0.001917331747504211,0.0001281428911682005,0.00012946151079250518,0.0006171686335046798,0.0006537408084168611,0.0001389983774216658,0.0001401565725117201,8.469254985987367e-05,8.563340027479628e-05,0.00013954111563735456,0.00015562229666964193,4.569272609261172e-05,3.4464018982637796e-05,5.134888291564557e-05,5.3144632499801684e-05
40,853.7,0.000985170438694071,0.0018237869462703429,0.0020166843279923806,0.0018406634643045735,0.00012499630939543353,0.00012526547769770138,0.0006220055562926441,0.00062829284125994,0.0001413606623674293,0.00013552700952649922,9.027766354615321e-05,8.321396243944692e-05,0.00011355244744060948,0.0001503658225103267,3.2754137641145814e-05,3.411875863655379e-05,4.700693657312024e-05,5.204214376704368e-05
41,853.8,0.0011241318678110158,0.001719685518740987,0.002030047290151469,0.0017649748772076857,0.0001135299433188626,0.0001211230630889055,0.0006302380681455456,0.0006031700577801027,0.00013573352899100106,0.0001309566048349661,7.772171968187461e-05,8.082544108897524e-05,0.0001311983705876205,0.00014517651755101404,3.527752972824443e-05,3.377791015677716e-05,4.795589531822814e-05,5.0953743049169196e-05
42,853.9,0.0012424253904947025,0.001610812654632992,0.0020305749847205194,0.0016927487417153452,0.00011560237684583235,0.00011717014746085508,0.0005834447964984887,0.0005791965416509573,0.00015799268021918905,0.00012659527796698078,8.53340587729147e-05,7.854618508351322e-05,0.00013002352256254334,0.000140224602639158,4.0855199914668046e-05,3.3452654138307795e-05,5.321946276370617e-05,4.991513233209324e-05
43,854.0,0.0013402170222968652,0.0015023419126140183,0.0018627414788885512,0.0016258289356868533,0.00011772310503139645,0.00011350764571861276,0.0005629546585385174,0.0005569843183574452,0.00012613385341933396,0.00012255437025340975,8.726313053387397e-05,7.643438208124726e-05,0.00012334645731454553,0.00013563649636554815,3.567605260569157e-05,3.315129411790524e-05,4.804311029093629e-05,4.895282655106187e-05
44,854.1,0.0014182404679179516,0.0013988623418096703,0.0017454471334417494,0.0015649902047895489,8.7457535257891e-05,0.00011017795946978646,0.000548335177049053,0.0005367905438116928,0.00010523939569262438,0.00011888066419302274,7.525591014006951e-05,7.451448090119485e-05,0.00011381477558283937,0.0001314653162699343,3.8006447881991614e-05,3.28773190084037e-05,4.006729056990766e-05,4.807796653685078e-05
45,854.2,0.00147768468389212,0.0013040439460499055,0.0016583641841912242,0.001509952251104173,9.577448562691453e-05,0.00010716574808985032,0.0005278205069895674,0.0005185221806852807,0.00012388666068243682,0.00011555723418350193,5.883383675849668e-05,7.27776361204155e-05,0.00010306384721897978,0.0001276918447735733,3.705602740933371e-05,3.2629466543940825e-05,4.484717191213406e-05,4.728652160969386e-05
46,854.3,0.0015200823558633942,0.0012204544451756482,0.0017595193357011036,0.001459704407919149,0.00010425783695103189,0.00010441569808028041,0.0005213517346304583,0.0005018437654434923,0.0001354817932607754,0.0001125230517916668,7.837631016904673e-05,7.119195390773328e-05,0.00010970234883267406,0.00012424678929247378,4.062550574257887e-05,3.2403185388239687e-05,4.5828315012973716e-05,4.656395839782921e-05
47,854.4,0.0015472030163950184,0.001149526920927847,0.001687607076169119,0.001412947537486598,9.433765597125304e-05,0.00010185670800568119,0.0005244217326187974,0.0004863240843775989,0.00013155085971276438,0.00010969966945381464,7.73714440661219e-05,6.971643708818392e-05,0.00011545469153987218,0.00012104107930469212,4.675559312546021e-05,3.2192625133155953e-05,4.916872350094865e-05,4.589159532043143e-05
48,854.5,0.0015609543392044035,0.001091655537012501,0.0015798013367249676,0.0013684847136885773,9.36082891111676e-05,9.942327044377416e-05,0.0004579535987816195,0.0004715658501705059,0.00010623824058122382,0.0001070148115871305,5.639681832662424e-05,6.831331400163602e-05,0.00010901460610123718,0.00011799265204650112,3.688958142198465e-05,3.199239566026683e-05,3.878280436590187e-05,4.5252220598340965e-05
